Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
49	:	1749588662.479	 37057.517	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_49 'manhattan_100_19_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
62	:	1749588669.022	 37065.641	0	527	1	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_62 'manhattan_100_23_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
46	:	1749588660.958	 37118.374	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_46 'manhattan_100_18_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
53	:	1749588664.503	 37526.195	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_53 'manhattan_100_21_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
51	:	1749588663.491	 37784.080	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_51 'manhattan_100_19_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
55	:	1749588665.514	 37952.149	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_55 'manhattan_100_21_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
64	:	1749588670.023	 38017.936	0	527	1	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_64 'manhattan_100_23_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
54	:	1749588665.005	 38027.515	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_54 'manhattan_100_21_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
56	:	1749588666.024	 38458.404	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_56 'manhattan_100_21_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
57	:	1749588666.522	 38772.427	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_57 'manhattan_100_22_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
